X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8373615.29184354,4859624.15191281,3284,2121375W,Bus,21,Westbound,21375,Walnut St & 50th St,39.956508,-75.221466,Fall 2023,23,73,9,43,5,36
-8373834.36860142,4859658.57025401,3285,2121376W,Bus,21,Westbound,21376,Walnut St & 51st St,39.956745,-75.223434,Fall 2023,20,62,11,40,7,23
-8374052.66612287,4859694.0052953,3286,21434W,Bus,21,Westbound,434,Walnut St & 52nd St,39.956989,-75.225395,Fall 2023,118,188,81,106,33,73
-8374272.63343668,4859729.44046302,3287,2121377W,Bus,21,Westbound,21377,Walnut St & 53rd St,39.957233,-75.227371,Fall 2023,27,51,11,33,6,20
-8374471.33872774,4859761.53553963,3288,2121378W,Bus,21,Westbound,21378,Walnut St & 54th St,39.957454,-75.229156,Fall 2023,30,63,11,27,11,21
-8374709.11716008,4859801.47299698,3289,2121379W,Bus,21,Westbound,21379,Walnut St & 55th St,39.957729,-75.231292,Fall 2023,28,59,19,30,5,22
-8374941.88621533,4859836.90854815,3290,2121380W,Bus,21,Westbound,21380,Walnut St & 56th St,39.957973,-75.233383,Fall 2023,41,123,17,68,16,44
-8375164.41387742,4859873.50605339,3291,2121381W,Bus,21,Westbound,21381,Walnut St & 57th St,39.958225,-75.235382,Fall 2023,53,103,27,51,26,39
-8375380.93028701,4859909.52277752,3292,2121382W,Bus,21,Westbound,21382,Walnut St & 58th St,39.958473,-75.237327,Fall 2023,11,64,10,23,3,14
-8375600.89760082,4859943.21596028,3293,2121383W,Bus,21,Westbound,21383,Walnut St & 59th St,39.958705,-75.239303,Fall 2023,15,39,8,18,4,18
-8375819.9743587,4859981.55661764,3294,21435W,Bus,21,Westbound,435,Walnut St & 60th St,39.958969,-75.241271,Fall 2023,37,139,28,62,17,36
