X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WK_Ons,WK_Offs,Sat_Ons,Sat_Offs,Sun_Ons,Sun_Offs
-8363970.57116121,4891048.54842472,11523,Bus,80,Southbound,16420,Prudential Rd & Gibralter Rd - FS,40.17255,-75.134826,Fall 2025,5,0,0,0,0,0
-8382494.69102667,4885169.3860767,11524,Bus,90,Eastbound,26563,Germantown Pk & Mill Creek Rd,40.132183,-75.301231,Fall 2025,0,0,0,0,0,0
-8372711.60021728,4879891.5005943,11525,Bus,94,Southbound,27152,Bethlehem Pk & Chesney Ln,40.095924,-75.213348,Fall 2025,0,0,0,0,2,0
-8364154.91623797,4890795.64061736,11526,Bus,80,Southbound,16421,Prudential Rd & Lakeside Dr,40.170814,-75.136482,Fall 2025,0,0,0,0,0,0
-8382307.78560163,4884656.74345483,11527,Bus,90,Eastbound,26564,Germantown Pk & Virginia Rd,40.128662,-75.299552,Fall 2025,0,2,0,0,0,0
-8372773.60517365,4879548.36587652,11528,Bus,94,Southbound,27153,Bethlehem Pk & Yeakel Av - FS,40.093566,-75.213905,Fall 2025,0,0,2,0,0,1
-8364154.02568204,4889720.41759752,11529,Bus,80,Southbound,16425,Blair Mill Rd & Witmer Rd - 1 MBFS,40.163433,-75.136474,Fall 2025,2,0,0,0,0,0
-8382064.88647271,4884452.33443307,11530,Bus,90,Eastbound,26565,Germantown Pk & Pleasant Rd,40.127258,-75.29737,Fall 2025,1,0,1,1,0,0
-8378802.78011451,4899755.96112172,11531,Bus,94,Southbound,29462,Main St & Oakland Av,40.232292,-75.268066,Fall 2025,4,0,1,0,0,0
-8364586.27926479,4889178.55299814,11532,Bus,80,Southbound,16426,Blair Mill Rd & Welsh Rd - MBNS,40.159713,-75.140357,Fall 2025,11,0,0,0,0,0
-8381111.99163152,4883671.42601961,11533,Bus,90,Eastbound,26567,Germantown Pk & Walton Rd,40.121894,-75.28881,Fall 2025,1,0,1,1,0,0
-8379286.90857997,4900139.75240244,11534,Bus,94,Southbound,29463,Main St & Highland Av - MBNS,40.234924,-75.272415,Fall 2025,1,0,4,1,0,0
-8367964.82581036,4877736.70106476,11535,Bus,80,Southbound,17193,Cheltenham Av & Mt Airy Av,40.081115,-75.170707,Fall 2025,3,6,0,0,0,0
-8380952.35948172,4883402.69363841,11536,Bus,90,Eastbound,26568,Germantown Pk & Red Rowan Ln - MBFS,40.120048,-75.287376,Fall 2025,1,1,0,0,0,0
-8382203.36791926,4894484.71478584,11537,Bus,94,Southbound,29464,Morris Rd & Primrose Dr - FS,40.196132,-75.298614,Fall 2025,0,1,0,0,0,0
-8365141.76352385,4889671.47376878,11538,Bus,80,Southbound,19544,Electronic Dr & UPS,40.163097,-75.145347,Fall 2025,20,0,0,0,0,0
-8381536.6754889,4884020.23580985,11539,Bus,90,Eastbound,26569,Germantown Pk & Jolly Rd,40.12429,-75.292625,Fall 2025,0,0,1,0,0,0
-8375938.08433843,4890442.80424261,11540,Bus,94,Southbound,29466,Pen Ambler Rd & Stafford Dr,40.168392,-75.242332,Fall 2025,0,0,0,0,0,0
-8367979.29734417,4878013.13640296,11541,Bus,80,Southbound,21219,Easton Rd & Cheltenham Av - MBNS,40.083015,-75.170837,Fall 2025,0,3,0,0,0,0
-8387657.57769017,4885553.19384784,11542,Bus,90,Eastbound,26573,Circle Dr & Lower Farm Dr,40.134819,-75.34761,Fall 2025,2,3,0,0,0,0
-8372830.48943345,4879354.10276391,11543,Bus,94,Southbound,29787,Bethlehem Pk & Montgomery Av,40.092231,-75.214416,Fall 2025,0,2,1,2,0,0
-8387944.67065692,4885410.356212,11544,Bus,90,Eastbound,26574,Circle Dr & Market St,40.133838,-75.350189,Fall 2025,0,1,0,1,0,0
-8372618.20316451,4886149.75619204,11545,Bus,94,Southbound,30451,Bethlehem Pk & Washington Ln - FS,40.138916,-75.212509,Fall 2025,3,4,5,0,1,0
-8366645.02192752,4876752.79934461,11546,Bus,80,Southbound,21220,Cheltenham Av & Ogontz Av,40.074352,-75.158851,Fall 2025,2,11,0,0,0,0
-8388037.17715377,4885481.4107619,11547,Bus,90,Eastbound,26575,Market St & Oak Dr,40.134326,-75.35102,Fall 2025,1,5,0,1,0,0
-8364230.50217221,4891279.75494349,11548,Bus,80,Southbound,29049,Gibraltar Rd & Dresher Rd - MBFS,40.174137,-75.137161,Fall 2025,0,0,0,0,0,0
-8372664.84603115,4887857.37266263,11549,Bus,94,Southbound,31341,Bethlehem Pk & Highland Av,40.150642,-75.212928,Fall 2025,0,1,0,0,0,0
-8388646.2060879,4885529.16902479,11550,Bus,90,Eastbound,26576,Beech Dr & Maple St,40.134654,-75.356491,Fall 2025,0,0,0,2,0,0
-8364289.9467803,4889548.67826473,11551,Bus,80,Southbound,29052,Blair Mill Rd & Witmer Rd - 2 MBFS,40.162254,-75.137695,Fall 2025,2,0,0,0,0,0
-8376808.60275644,4900421.18937914,11552,Bus,94,Southbound,31929,North Wales Rd & Rose Ln,40.236854,-75.250152,Fall 2025,1,0,0,0,1,0
-8387811.30990695,4884312.27883713,11553,Bus,90,Eastbound,29470,Stanbridge St & Beech St,40.126296,-75.348991,Fall 2025,1,0,0,1,0,0
-8363941.7394131,4888015.68361033,11554,Bus,80,Southbound,29054,Moreland Rd & Kimball Av,40.151729,-75.134567,Fall 2025,2,0,0,0,0,0
-8381719.2394538,4893835.47895027,11555,Bus,94,Southbound,31959,Morris Rd & North Wales Rd - FS,40.191677,-75.294265,Fall 2025,1,0,1,0,0,0
-8384140.66101754,4887345.75580254,11556,Bus,90,Eastbound,29471,Swede Rd & Hilltop Av,40.147129,-75.316017,Fall 2025,0,1,2,0,0,0
-8364487.76151544,4888428.00304069,11557,Bus,80,Southbound,32382,Prudential Office Campus & Welsh Rd,40.15456,-75.139472,Fall 2025,2,0,0,0,0,0
-8377771.73899078,4899653.5998576,11558,Bus,94,Southbound,32061,North Wales Rd & Yorktown Rd - MBNS,40.23159,-75.258804,Fall 2025,0,0,0,0,0,0
-8387805.29865445,4885590.90565742,11559,Bus,90,Eastbound,30447,Circle Dr & Lower Farm Rd - MBFS,40.135078,-75.348937,Fall 2025,1,0,1,0,0,0
-8364252.54343139,4890672.24843038,11560,Bus,80,Southbound,32396,Prudential Rd & Rock Rd,40.169967,-75.137359,Fall 2025,0,0,0,0,0,0
-8380580.3297435,4882987.38107552,11561,Bus,95,Northbound,246,Plymouth Meeting Mall,40.117195,-75.284034,Fall 2025,28,18,22,14,0,0
-8381711.66972843,4884164.65481404,11562,Bus,90,Eastbound,30448,Germantown Pk & Plymouth Valley Dr - MBFS,40.125282,-75.294197,Fall 2025,1,2,1,0,0,0
