X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8365970.64845229,4866155.02627409,9999,16165N,Bus,Infodev,16,Northbound,165,Broad St & Allegheny Av,40.001464,-75.152793,Fall 2022,122,84,56,55,41,34
-8365417.83586102,4869498.97600198,10000,1617309N,Bus,Infodev,16,Northbound,17309,Broad St & Wyoming Av,40.024471,-75.147827,Fall 2022,52,40,29,14,28,12
-8356846.6803479,4869706.85640167,10001,2621603W,Bus,Infodev,26,Westbound,21603,Frankford Av & Cheltenham Av - MBFS,40.025901,-75.070831,Fall 2022,2,0,0,0,0,0
-8362041.84966373,4871498.29732004,10002,2630998W,Bus,Infodev,26,Westbound,30998,Olney Square - 2 DollarTree,40.038223,-75.1175,Fall 2022,21,0,11,0,13,0
-8362196.36111695,4871353.48127439,10003,2627715W,Bus,Infodev,26,Westbound,27715,Olney Square - 1 Conway,40.037227,-75.118888,Fall 2022,46,0,24,0,17,0
-8362328.05207456,4871401.75305459,10004,2632094W,Bus,Infodev,26,Westbound,32094,Olney Square - 4 Post Office,40.037559,-75.120071,Fall 2022,14,4,9,0,1,0
-8362486.01443199,4871094.5333569,10005,2615823W,Bus,Infodev,26,Westbound,15823,Front St & Olney Av,40.035446,-75.12149,Fall 2022,23,15,16,5,17,2
-8357203.3479964,4869697.40719806,10006,2621602W,Bus,Infodev,26,Westbound,21602,Cheltenham Av & Frankford Av - MBNS,40.025836,-75.074035,Fall 2022,2,0,1,0,2,0
-8355968.48088503,4870188.77772464,10007,2615831W,Bus,Infodev,26,Westbound,15831,Battersby St & Harbison Av,40.029216,-75.062942,Fall 2022,6,2,7,1,8,0
-8359337.67659338,4871033.46857853,10008,2630387W,Bus,Infodev,26,Westbound,30387,Langdon St & Sanger St school,40.035026,-75.093208,Fall 2022,57,0,0,0,0,0
